phase,channel,window_s,method,windows,valid_windows,valid_fraction,mae_valid_bpm,rmse_valid_bpm,bias_valid_bpm,penalized_mae_bpm,invalid_windows
sitting,tensometric,10,Przejścia przez zero,22,20,0.9090909090909091,4.260816809457337,5.8072598009417264,0.40729973829320676,5.237106190415761,2
sitting,tensometric,20,Autokorelacja,20,20,1.0,20.401571032353836,22.981356219992144,5.680247149464346,20.401571032353836,0
sitting,tensometric,20,FFT,20,19,0.95,8.24193994602352,9.696115361204244,-3.198484335949321,9.079842948722343,1
sitting,tensometric,20,Maksima,20,18,0.9,4.849559190838976,6.588336585797838,0.8174605546245558,6.364603271755078,2
sitting,tensometric,20,Minima,20,18,0.9,5.402088217210503,7.349853917316381,0.9163341520011596,6.861879395489453,2
sitting,tensometric,20,Przejścia przez zero,20,19,0.95,6.426714281709668,8.42078733958577,0.3419006449743982,7.105378567624184,1
walking,pressure,5,Autokorelacja,24,24,1.0,4.00008281777255,4.911782221225039,1.0279501229218022,4.00008281777255,0
walking,pressure,5,FFT,24,24,1.0,4.275135769135184,5.204207570153903,-2.1952409485541584,4.275135769135184,0
walking,pressure,5,Maksima,24,9,0.375,2.845134722327705,4.471997014030161,1.9158417930347755,10.858592187539557,15
walking,pressure,5,Minima,24,10,0.4166666666666667,6.851812132211407,9.67710184090241,6.21544849584777,12.64658838842142,14
walking,pressure,5,Przejścia przez zero,24,15,0.625,6.5591838288753,8.01402496597072,1.7721777315243736,8.891156559713728,9
walking,pressure,10,Autokorelacja,24,24,1.0,9.249518027366532,13.803312837081592,1.2872828179057143,9.249518027366532,0
walking,pressure,10,FFT,24,24,1.0,6.1344881790551,7.822423267259077,-2.0218582321029577,6.1344881790551,0
walking,pressure,10,Maksima,24,23,0.9583333333333334,4.308522542690096,5.957345844941051,2.24515289159666,4.545667436744675,1
walking,pressure,10,Minima,24,22,0.9166666666666666,5.586770743388832,8.289357319320771,3.3194188959124777,6.162873181439761,2
walking,pressure,10,Przejścia przez zero,24,22,0.9166666666666666,4.458176431478336,6.0888939848949635,1.448387712531883,5.336661728855141,2
walking,pressure,20,Autokorelacja,24,24,1.0,16.714707675264993,20.633158417437045,3.0297616358426906,16.714707675264993,0
walking,pressure,20,FFT,24,24,1.0,7.283712033295454,9.049821799331122,-3.7830065487778164,7.283712033295454,0
walking,pressure,20,Maksima,24,24,1.0,4.589034636860724,6.558058352552977,2.8289565922999205,4.589034636860724,0
walking,pressure,20,Minima,24,24,1.0,4.661224248461277,6.913531578781748,2.2043439686132404,4.661224248461277,0
walking,pressure,20,Przejścia przez zero,24,24,1.0,5.272748422512069,6.876462625162751,0.7498586000949533,5.272748422512069,0
walking,temperature_left,5,Autokorelacja,4,4,1.0,4.774725274725274,5.228719932853108,4.774725274725274,4.774725274725274,0
walking,temperature_left,5,FFT,4,4,1.0,4.007464239748099,4.615413409563155,1.0073115813097573,4.007464239748099,0
walking,temperature_left,5,Maksima,4,0,0.0,,,,12.5,4
walking,temperature_left,5,Metoda nachylenia,4,4,1.0,2.5,2.5495097567963922,-0.5,2.5,0
walking,temperature_left,5,Minima,4,0,0.0,,,,12.5,4
walking,temperature_left,5,Przejścia przez zero,4,2,0.5,4.664750957854407,5.031954817079751,4.664750957854407,8.582375478927204,2
walking,temperature_left,10,Autokorelacja,4,4,1.0,3.44190966266438,3.97902648286484,-1.7752429959977132,3.44190966266438,0
walking,temperature_left,10,FFT,4,4,1.0,5.400364148714855,6.5206392244848805,-3.5041603752414847,5.400364148714855,0
walking,temperature_left,10,Maksima,4,3,0.75,8.327006327006325,10.527311903672418,5.599733599733599,8.745254745254744,1
walking,temperature_left,10,Metoda nachylenia,4,4,1.0,3.0,3.082207001484488,-0.5,3.0,0
walking,temperature_left,10,Minima,4,3,0.75,6.008281573498965,7.170595165461569,5.151138716356107,7.0062111801242235,1
walking,temperature_left,10,Przejścia przez zero,4,3,0.75,2.523458523458523,2.546579301805423,2.523458523458523,4.392593892593892,1
walking,temperature_left,20,Autokorelacja,4,4,1.0,12.928398843681236,19.412251736291935,6.071601156318764,12.928398843681236,0
walking,temperature_left,20,FFT,4,4,1.0,4.633996844076156,5.102796504909319,-3.997891685688582,4.633996844076156,0
walking,temperature_left,20,Maksima,4,4,1.0,2.6036712557363373,3.029169084655079,0.2100542344597418,2.6036712557363373,0
walking,temperature_left,20,Metoda nachylenia,4,4,1.0,2.25,3.2015621187164243,-1.25,2.25,0
walking,temperature_left,20,Minima,4,4,1.0,2.612893642305407,3.964762504460107,1.7305407011289362,2.612893642305407,0
walking,temperature_left,20,Przejścia przez zero,4,4,1.0,2.493589023093351,2.9942557684157767,0.8472475596787166,2.493589023093351,0
walking,temperature_right,5,Autokorelacja,4,4,1.0,5.328571428571428,5.781779967435351,5.328571428571428,5.328571428571428,0
walking,temperature_right,5,FFT,4,4,1.0,4.32829611576904,4.988859235799276,1.451701773681761,4.32829611576904,0
walking,temperature_right,5,Maksima,4,0,0.0,,,,12.5,4
walking,temperature_right,5,Metoda nachylenia,4,4,1.0,2.5,2.5495097567963922,-0.5,2.5,0
walking,temperature_right,5,Minima,4,0,0.0,,,,12.5,4
walking,temperature_right,5,Przejścia przez zero,4,2,0.5,4.9603174603174605,5.419246144344311,4.9603174603174605,8.730158730158731,2
walking,temperature_right,10,Autokorelacja,4,4,1.0,10.671899529042385,16.853201412111382,7.68524332810047,10.671899529042385,0
walking,temperature_right,10,FFT,4,4,1.0,4.190164849922736,4.567208823351374,0.5988237995787902,4.190164849922736,0
walking,temperature_right,10,Maksima,4,3,0.75,8.327006327006325,10.527311903672418,5.599733599733599,8.745254745254744,1
walking,temperature_right,10,Metoda nachylenia,4,4,1.0,3.0,3.082207001484488,-0.5,3.0,0
walking,temperature_right,10,Minima,4,4,1.0,4.218487394957983,5.634693469607186,3.2815126050420167,4.218487394957983,0
walking,temperature_right,10,Przejścia przez zero,4,3,0.75,4.78417459549535,5.339239477893185,4.78417459549535,6.088130946621512,1
walking,temperature_right,20,Autokorelacja,4,4,1.0,21.491304347826087,27.1016660457889,16.508695652173913,21.491304347826087,0
walking,temperature_right,20,FFT,4,4,1.0,5.419321625865145,5.501311038525363,-5.419321625865145,5.419321625865145,0
walking,temperature_right,20,Maksima,4,4,1.0,2.6975931289323882,3.271938937860594,0.25022470787975637,2.6975931289323882,0
walking,temperature_right,20,Metoda nachylenia,4,4,1.0,3.25,4.031128874149275,0.25,3.25,0
walking,temperature_right,20,Minima,4,4,1.0,2.804460245636716,4.312054667865219,1.426308985132514,2.804460245636716,0
walking,temperature_right,20,Przejścia przez zero,4,4,1.0,2.6363636363636362,3.0189847379599457,0.8506493506493507,2.6363636363636362,0
