session,phase,event_type,target_bpm,channel,device,method,p_reference,p_noise,snr_ref_db
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,EMA,5.180900700757896,152.14599676315902,-14.678552612669446
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,median,15.5282253670262,165.66530352224282,-10.281097350148604
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,S-G,17.294441958777952,169.44098296940257,-9.911119090616587
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,raw,29792.070803640967,4601.956670667569,8.111581661548634
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,detrend,29792.075680901864,4604.423092509687,8.109255391787865
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,SMA,25221.558632413162,3300.9383522161183,8.831345078402919
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,EMA,15522.820050696731,2311.867609853228,8.270076625371688
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,median,28983.874775494023,4456.703935813807,8.131426603248336
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,S-G,29582.197402484395,4215.882812567574,8.461419003551905
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,raw,14751.232005802438,2128.3807201829245,8.407789773624355
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,detrend,14751.23628438988,2121.173052236485,8.422523184412182
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,SMA,9055.323184009063,1353.18734935193,8.255460258617
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,EMA,4094.7939859288763,886.6397664055311,6.644848509544721
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,median,13143.240444160754,2049.5685150379195,8.070400120826287
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,S-G,13985.50632609712,1801.2184444781963,8.901118085394458
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,raw,40162.7077347175,6660.448515154544,7.80319509297692
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,detrend,40162.706441929884,6658.204633680644,7.804658322399752
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,SMA,34000.15917077305,4721.962692193868,8.573583987499223
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,EMA,20892.460349161986,3163.4739650782376,8.198253219818325
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,median,38807.80364654077,6331.867516963912,7.873872448026358
session_20260624_walking_12_20,walking,WALK_METRONOME_12_START,12.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,S-G,39879.80291267172,6130.153369001516,8.132816631714912
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,raw,21137.04937199666,3716.2531288656405,7.549390739680655
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,detrend,21137.05678736165,3816.602934780017,7.4336753428061275
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,SMA,12980.421894032888,2520.345815868756,7.118286739975066
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,EMA,5867.020538262168,1783.8630402830909,5.170561010458687
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,median,18386.738832023857,3581.7715408123577,7.1040682591085815
session_20260624_walking_12_20,walking,WALK_METRONOME_20_START,20.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,S-G,20041.179082941093,3284.4079129838906,7.8546617901339175
session_20260821_walk_run_temp_tenso,walking,WALK_RUN_WALKING_START,20.0,tensometric,Pas tensometryczny,raw,73160251681.43097,121163047553.65561,-2.190949975502105
session_20260821_walk_run_temp_tenso,walking,WALK_RUN_WALKING_START,20.0,tensometric,Pas tensometryczny,detrend,73158815676.9751,41768278443.00423,2.4342009095314685
session_20260821_walk_run_temp_tenso,walking,WALK_RUN_WALKING_START,20.0,tensometric,Pas tensometryczny,SMA,44888471160.80986,26912192275.357132,2.2218573721947728
session_20260821_walk_run_temp_tenso,walking,WALK_RUN_WALKING_START,20.0,tensometric,Pas tensometryczny,EMA,20258966907.176876,20600019672.974934,-0.07250340094996231
session_20260821_walk_run_temp_tenso,walking,WALK_RUN_WALKING_START,20.0,tensometric,Pas tensometryczny,median,53664427906.40795,33278130169.616863,2.0752758771134325
session_20260821_walk_run_temp_tenso,walking,WALK_RUN_WALKING_START,20.0,tensometric,Pas tensometryczny,S-G,69367294571.06424,33146134385.33415,3.207218698932847
session_20260821_walk_run_temp_tenso,running,WALK_RUN_RUNNING_START,20.0,tensometric,Pas tensometryczny,raw,116793571033.06786,209544874657.28723,-2.538581052621045
session_20260821_walk_run_temp_tenso,running,WALK_RUN_RUNNING_START,20.0,tensometric,Pas tensometryczny,detrend,116795989639.08823,80233527249.846,1.6307204569345215
session_20260821_walk_run_temp_tenso,running,WALK_RUN_RUNNING_START,20.0,tensometric,Pas tensometryczny,SMA,73532196089.12503,60158535522.29189,0.8718028126204967
session_20260821_walk_run_temp_tenso,running,WALK_RUN_RUNNING_START,20.0,tensometric,Pas tensometryczny,EMA,33671408209.135956,47074816433.638336,-1.455273553011648
session_20260821_walk_run_temp_tenso,running,WALK_RUN_RUNNING_START,20.0,tensometric,Pas tensometryczny,median,77746646398.03873,62080222119.0725,0.9772840267750688
session_20260821_walk_run_temp_tenso,running,WALK_RUN_RUNNING_START,20.0,tensometric,Pas tensometryczny,S-G,111227271091.69232,70467766203.88367,1.9822077736529486
session_20260821_walk_run_temp_tenso,walking,WALK_RUN_WALKING_START,20.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,raw,0.6676110552906744,88.15207941525559,-21.207090415515474
