session,phase,channel,device,window_s,window_start_s,window_end_s,target_bpm,method,estimated_bpm,error_bpm,absolute_error_bpm,valid,event_count,contains_target_transition
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,115.0,120.0,25.0,Maksima,24.0,-1.0,1.0,True,2,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,115.0,120.0,25.0,Minima,22.857142857142858,-2.1428571428571423,2.1428571428571423,True,2,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,115.0,120.0,25.0,Przejścia przez zero,21.818181818181817,-3.1818181818181834,3.1818181818181834,True,2,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,115.0,120.0,25.0,Autokorelacja,24.0,-1.0,1.0,True,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,115.0,120.0,25.0,FFT,22.090087827587457,-2.909912172412543,2.909912172412543,True,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,130.0,135.0,10.0,Maksima,,,,False,1,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,130.0,135.0,10.0,Minima,,,,False,0,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,130.0,135.0,10.0,Przejścia przez zero,,,,False,1,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,130.0,135.0,10.0,Autokorelacja,14.117647058823529,4.117647058823529,4.117647058823529,True,1,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,130.0,135.0,10.0,FFT,5.466228707342243,-4.533771292657757,4.533771292657757,True,1,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,135.0,140.0,10.0,Maksima,,,,False,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,135.0,140.0,10.0,Minima,,,,False,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,135.0,140.0,10.0,Przejścia przez zero,,,,False,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,135.0,140.0,10.0,Autokorelacja,15.483870967741936,5.483870967741936,5.483870967741936,True,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,135.0,140.0,10.0,FFT,7.583868260734957,-2.416131739265043,2.416131739265043,True,1,False
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,140.0,145.0,15.0,Maksima,,,,False,1,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,140.0,145.0,15.0,Minima,24.0,9.0,9.0,True,2,True
session_20260625_variable_sit_walk,walking,tensometric,Pas tensometryczny,5,140.0,145.0,15.0,Przejścia przez zero,36.92307692307692,21.92307692307692,21.92307692307692,True,2,True
